antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),0.1329728939869949,0.0562577628406517,0.0176566571686028,0.13278388278388276,2.360276628133771,0.010175899634447321,1.0882434244751937,0.6647091470696775
frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.0562577628406517,0.1329728939869949,0.0176566571686028,0.3138528138528138,2.360276628133771,0.010175899634447321,1.2636167917287329,0.610676120482764
frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),0.0954677187598938,0.0562577628406517,0.0117386327658849,0.12295918367346938,2.1856394116087996,0.00636783248495276,1.0760528125842483,0.5997220863277445
frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.0562577628406517,0.0954677187598938,0.0117386327658849,0.20865800865800865,2.1856394116088,0.00636783248495276,1.143035869619609,0.5748052439498015
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),0.1329728939869949,0.0683860597647402,0.0181924453861328,0.13681318681318666,2.000600521273598,0.009098953110847704,1.0792726742381746,0.5768563425353898
frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.0683860597647402,0.1329728939869949,0.0181924453861328,0.2660256410256409,2.000600521273598,0.009098953110847704,1.1812771051356226,0.536864106098931
frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.0683860597647402,0.0954677187598938,0.0116412167263339,0.17022792022791905,1.7830940388975984,0.005112555605616394,1.0900972728421523,0.4714153193005743
frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),0.0954677187598938,0.0683860597647402,0.0116412167263339,0.12193877551020316,1.7830940388975984,0.005112555605616394,1.0609897285654313,0.48552947441385175
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'HOME BUILDING BLOCK WORD'}),0.1329728939869949,0.050315384428046,0.0180950293465819,0.136080586080586,2.704552248332503,0.011404447067116446,1.0992745391186918,0.7269127173412913
frozenset({'HOME BUILDING BLOCK WORD'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.050315384428046,0.1329728939869949,0.0180950293465819,0.35963213939980665,2.704552248332503,0.011404447067116446,1.3539516258676259,0.6636445608428596
frozenset({'LOVE BUILDING BLOCK WORD'}),frozenset({'HOME BUILDING BLOCK WORD'}),0.0413044007695867,0.050315384428046,0.0210905725627724,0.5106132075471685,10.148252137025324,0.019012325759480565,1.9405603710964217,0.9402993655927572
frozenset({'HOME BUILDING BLOCK WORD'}),frozenset({'LOVE BUILDING BLOCK WORD'}),0.050315384428046,0.0413044007695867,0.0210905725627724,0.4191674733785086,10.148252137025324,0.019012325759480565,1.6505542566750266,0.949221298283341
frozenset({'LOVE BUILDING BLOCK WORD'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.0413044007695867,0.1329728939869949,0.0163658946445532,0.39622641509433915,2.97975326560232,0.010873528939822599,1.4360136443340383,0.6930268004572587
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'LOVE BUILDING BLOCK WORD'}),0.1329728939869949,0.0413044007695867,0.0163658946445532,0.12307692307692293,2.97975326560232,0.010873528939822599,1.0932493675434536,0.7662986994747336
frozenset({'CHOCOLATE HOT WATER BOTTLE'}),frozenset({'SCOTTIE DOG HOT WATER BOTTLE'}),0.0419132510167799,0.0411339227003726,0.0150994861303913,0.3602556653108642,8.758115969999647,0.013375429702945764,1.4988269927635374,0.9245720107581543
frozenset({'SCOTTIE DOG HOT WATER BOTTLE'}),frozenset({'CHOCOLATE HOT WATER BOTTLE'}),0.0411339227003726,0.0419132510167799,0.0150994861303913,0.367081113084664,8.758115969999647,0.013375429702945764,1.5137591384776943,0.9238205552988366
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'SCOTTIE DOG HOT WATER BOTTLE'}),0.1329728939869949,0.0411339227003726,0.011008012469253,0.08278388278388235,2.012545299579038,0.0055383157267471115,1.0454091018482354,0.5802780224180809
frozenset({'SCOTTIE DOG HOT WATER BOTTLE'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.0411339227003726,0.1329728939869949,0.011008012469253,0.2676139727649483,2.012545299579038,0.0055383157267471115,1.183838950732387,0.5246997327061388
frozenset({'SMALL DOLLY MIX DESIGN ORANGE BOWL'}),frozenset({'SMALL MARSHMALLOWS PINK BOWL'}),0.0178514892477046,0.014953362071065,0.0111297825186917,0.6234652114597554,41.69398216245769,0.01086284273646305,2.616084005804026,0.9937557433856382
frozenset({'SMALL MARSHMALLOWS PINK BOWL'}),frozenset({'SMALL DOLLY MIX DESIGN ORANGE BOWL'}),0.014953362071065,0.0178514892477046,0.0111297825186917,0.7442996742671009,41.69398216245769,0.01086284273646305,3.841013921031268,0.9908319929600717
frozenset({'CHOCOLATE HOT WATER BOTTLE'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.0419132510167799,0.1329728939869949,0.0105696402912739,0.25217896571760473,1.8964689581191523,0.00499631400716932,1.1594045450259356,0.49338357085458184
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'CHOCOLATE HOT WATER BOTTLE'}),0.1329728939869949,0.0419132510167799,0.0105696402912739,0.07948717948717908,1.8964689581191523,0.00499631400716932,1.0408184738257817,0.5452012493306156
frozenset({'HANGING HEART ZINC T-LIGHT HOLDER'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.0370911570590097,0.1329728939869949,0.0143445118238718,0.3867367038739337,2.9083875087486444,0.009412393328409124,1.4137925936379103,0.6814423484282519
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'HANGING HEART ZINC T-LIGHT HOLDER'}),0.1329728939869949,0.0370911570590097,0.0143445118238718,0.10787545787545791,2.9083875087486444,0.009412393328409124,1.0793435192892236,0.756800864362131
frozenset({'PINK BLUE FELT CRAFT TRINKET BOX'}),frozenset({'PINK CREAM FELT CRAFT TRINKET BOX '}),0.0279584033511117,0.034022551813156,0.0159031684566863,0.5688153310104508,16.71877330466725,0.014951952230059986,2.240287091956548,0.9672291828908578
frozenset({'PINK CREAM FELT CRAFT TRINKET BOX '}),frozenset({'PINK BLUE FELT CRAFT TRINKET BOX'}),0.034022551813156,0.0279584033511117,0.0159031684566863,0.4674302075876856,16.71877330466725,0.014951952230059986,1.825191008761413,0.9733011894091068
frozenset({'JUMBO STORAGE BAG SUKI'}),frozenset({'JUMBO BAG TOYS '}),0.0567448430384062,0.025693480431553,0.0130537492998222,0.23004291845493566,8.953357606329984,0.011595776785623364,1.265403673687002,0.941749483714114
frozenset({'JUMBO BAG TOYS '}),frozenset({'JUMBO STORAGE BAG SUKI'}),0.025693480431553,0.0567448430384062,0.0130537492998222,0.5080568720379152,8.953357606329984,0.011595776785623364,1.9174069182938003,0.9117357209851359
frozenset({'JUMBO BAG WOODLAND ANIMALS'}),frozenset({'JUMBO BAG TOYS '}),0.0344609239911351,0.025693480431553,0.0101799761330703,0.2954063604240283,11.497327550114742,0.009294555056850834,1.382792101493834,0.945609855353853
frozenset({'JUMBO BAG TOYS '}),frozenset({'JUMBO BAG WOODLAND ANIMALS'}),0.025693480431553,0.0344609239911351,0.0101799761330703,0.3962085308056877,11.497327550114742,0.009294555056850834,1.5991267271418421,0.9371006430375156
frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),frozenset({'JUMBO BAG TOYS '}),0.0534083436837875,0.025693480431553,0.010740118360488,0.20109439124486916,7.82666995156928,0.00936787212716695,1.2195514825420104,0.9214445683594007
frozenset({'JUMBO BAG TOYS '}),frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),0.025693480431553,0.0534083436837875,0.010740118360488,0.4180094786729846,7.82666995156928,0.00936787212716695,1.6264726342241078,0.89523340206452
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG TOYS '}),0.0797106743625337,0.025693480431553,0.0125910231119553,0.15795905896730741,6.1478264646982215,0.010542978460035648,1.157077372477331,0.9098669990104618
frozenset({'JUMBO BAG TOYS '}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.025693480431553,0.0797106743625337,0.0125910231119553,0.49004739336492675,6.1478264646982215,0.010542978460035648,1.8046565772258787,0.8594224405990933
frozenset({'VINTAGE SNAP CARDS'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.0459803706680304,0.1329728939869949,0.0112028445483548,0.24364406779660877,1.8322837120506514,0.005088701594032064,1.1463215519275562,0.4761254146877977
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'VINTAGE SNAP CARDS'}),0.1329728939869949,0.0459803706680304,0.0112028445483548,0.08424908424908363,1.8322837120506514,0.005088701594032064,1.0417894352305102,0.5238971059679531
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'BATHROOM METAL SIGN'}),0.1329728939869949,0.0325369572100046,0.0121039429142008,0.09102564102564088,2.797607669276829,0.0077774095524554675,1.064345801658951,0.7410976349374578
frozenset({'BATHROOM METAL SIGN'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.0325369572100046,0.1329728939869949,0.0121039429142008,0.3720059880239517,2.797607669276829,0.0077774095524554675,1.38062957524836,0.6641615330751023
frozenset({'PLEASE ONE PERSON METAL SIGN'}),frozenset({'LADIES & GENTLEMEN METAL SIGN'}),0.0397457441367721,0.027032950975378,0.0100582060836316,0.25306372549019446,9.361305975092712,0.008983761330902323,1.3026105201051514,0.9301466693711321
frozenset({'LADIES & GENTLEMEN METAL SIGN'}),frozenset({'PLEASE ONE PERSON METAL SIGN'}),0.027032950975378,0.0397457441367721,0.0100582060836316,0.37207207207207077,9.361305975092712,0.008983761330902323,1.5292427891078633,0.917993367541097
frozenset({'JUMBO BAG PINK VINTAGE PAISLEY'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.0394291420082316,0.1329728939869949,0.0103017461825089,0.2612723903644215,1.9648545092955156,0.005058739062250151,1.1736763249456967,0.5112131611872124
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'JUMBO BAG PINK VINTAGE PAISLEY'}),0.1329728939869949,0.0394291420082316,0.0103017461825089,0.07747252747252711,1.9648545092955159,0.005058739062250151,1.0412382141423573,0.5663680656033828
frozenset({'JUMBO BAG STRAWBERRY'}),frozenset({'JUMBO BAG PINK VINTAGE PAISLEY'}),0.0452497503713986,0.0394291420082316,0.0146611139524122,0.3240043057050581,8.217381591448678,0.012876955119181294,1.4209718583986488,0.9199334954957594
frozenset({'JUMBO BAG PINK VINTAGE PAISLEY'}),frozenset({'JUMBO BAG STRAWBERRY'}),0.0394291420082316,0.0452497503713986,0.0146611139524122,0.37183446571957884,8.217381591448678,0.012876955119181294,1.5199023147971515,0.9143591304680355
